State,Year,Quarter,District,RegisteredUser,AppOpens
Andhra Pradesh,2019,Q4 (Oct - Dec),kurnool district,846885,29676997
Andhra Pradesh,2019,Q4 (Oct - Dec),guntur district,1158708,37846179
Andhra Pradesh,2019,Q4 (Oct - Dec),krishna district,1199971,39407473
Andhra Pradesh,2019,Q4 (Oct - Dec),spsr nellore district,697154,23608360
Andhra Pradesh,2019,Q4 (Oct - Dec),vizianagaram district,443810,17515311
Andhra Pradesh,2019,Q4 (Oct - Dec),ysr district,646642,21543798
Andhra Pradesh,2019,Q4 (Oct - Dec),west godavari district,750078,19393528
Andhra Pradesh,2019,Q4 (Oct - Dec),chittoor district,1156351,44888591
Andhra Pradesh,2020,Q1 (Jan - Mar),east godavari district,1329664,46142746
Andhra Pradesh,2020,Q1 (Jan - Mar),srikakulam district,552007,20975989
Andhra Pradesh,2020,Q1 (Jan - Mar),visakhapatnam district,1763581,77558624
Andhra Pradesh,2020,Q1 (Jan - Mar),prakasam district,748655,26870693
Andhra Pradesh,2020,Q1 (Jan - Mar),anantapur district,971850,36900103
Andhra Pradesh,2020,Q1 (Jan - Mar),kurnool district,936293,34198350
Andhra Pradesh,2020,Q1 (Jan - Mar),guntur district,1289678,45282758
Andhra Pradesh,2020,Q1 (Jan - Mar),krishna district,1331602,46079408
Andhra Pradesh,2020,Q1 (Jan - Mar),spsr nellore district,775440,28879364
Andhra Pradesh,2020,Q1 (Jan - Mar),vizianagaram district,490683,21562104
Andhra Pradesh,2020,Q1 (Jan - Mar),ysr district,717865,26166193
Andhra Pradesh,2020,Q1 (Jan - Mar),west godavari district,843835,24542868
Andhra Pradesh,2020,Q1 (Jan - Mar),chittoor district,1270907,51354573
Andhra Pradesh,2020,Q2 (Apr - Jun),east godavari district,1459116,45884498
Andhra Pradesh,2020,Q2 (Apr - Jun),srikakulam district,608002,23808009
Andhra Pradesh,2020,Q2 (Apr - Jun),visakhapatnam district,1904719,69684456
Andhra Pradesh,2020,Q2 (Apr - Jun),prakasam district,830709,32255276
Andhra Pradesh,2020,Q2 (Apr - Jun),anantapur district,1076953,39704703
Andhra Pradesh,2020,Q2 (Apr - Jun),kurnool district,1035093,36268390
Andhra Pradesh,2020,Q2 (Apr - Jun),guntur district,1426271,44267596
Andhra Pradesh,2020,Q2 (Apr - Jun),krishna district,1459041,41234166
Andhra Pradesh,2020,Q2 (Apr - Jun),spsr nellore district,854459,30816403
Andhra Pradesh,2020,Q2 (Apr - Jun),vizianagaram district,537798,24370380
Andhra Pradesh,2020,Q2 (Apr - Jun),ysr district,796769,29644037
Andhra Pradesh,2020,Q2 (Apr - Jun),west godavari district,944829,26583613
Andhra Pradesh,2020,Q2 (Apr - Jun),chittoor district,1385916,49820171
Andhra Pradesh,2020,Q3 (Jul - Sep),east godavari district,1601940,64292857
Andhra Pradesh,2020,Q3 (Jul - Sep),srikakulam district,667858,31794753
Andhra Pradesh,2020,Q3 (Jul - Sep),visakhapatnam district,2058346,102589371
Andhra Pradesh,2020,Q3 (Jul - Sep),prakasam district,915240,44970519
Andhra Pradesh,2020,Q3 (Jul - Sep),anantapur district,1186851,55714787
Andhra Pradesh,2020,Q3 (Jul - Sep),kurnool district,1132240,49164718
Andhra Pradesh,2020,Q3 (Jul - Sep),guntur district,1567595,62427501
Andhra Pradesh,2020,Q3 (Jul - Sep),krishna district,1599289,61028114
Andhra Pradesh,2020,Q3 (Jul - Sep),spsr nellore district,937176,43951448
Andhra Pradesh,2020,Q3 (Jul - Sep),vizianagaram district,587784,31199437
Andhra Pradesh,2020,Q3 (Jul - Sep),ysr district,877909,41578067
Andhra Pradesh,2020,Q3 (Jul - Sep),west godavari district,1053674,38126238
Andhra Pradesh,2020,Q3 (Jul - Sep),chittoor district,1506503,69462572
Andhra Pradesh,2020,Q4 (Oct - Dec),east godavari district,1746280,82605352
Andhra Pradesh,2020,Q4 (Oct - Dec),srikakulam district,726761,36770992
Andhra Pradesh,2020,Q4 (Oct - Dec),visakhapatnam district,2209658,124730170
Andhra Pradesh,2020,Q4 (Oct - Dec),prakasam district,999462,52839846
Andhra Pradesh,2020,Q4 (Oct - Dec),anantapur district,1295872,69562398
Andhra Pradesh,2020,Q4 (Oct - Dec),kurnool district,1230466,60615045
Andhra Pradesh,2020,Q4 (Oct - Dec),guntur district,1712940,81291172
Andhra Pradesh,2020,Q4 (Oct - Dec),krishna district,1744028,81787771
Andhra Pradesh,2020,Q4 (Oct - Dec),spsr nellore district,1022944,54765443
Andhra Pradesh,2020,Q4 (Oct - Dec),vizianagaram district,634462,35110885
Andhra Pradesh,2020,Q4 (Oct - Dec),ysr district,959182,49596303
Andhra Pradesh,2020,Q4 (Oct - Dec),west godavari district,1163179,51170162
Andhra Pradesh,2020,Q4 (Oct - Dec),chittoor district,1631331,88232999
Andhra Pradesh,2021,Q1 (Jan - Mar),east godavari district,1878769,91478749
Andhra Pradesh,2021,Q1 (Jan - Mar),srikakulam district,782604,40590058
Andhra Pradesh,2021,Q1 (Jan - Mar),visakhapatnam district,2368081,135908324
Andhra Pradesh,2021,Q1 (Jan - Mar),prakasam district,1075936,56911479
Andhra Pradesh,2021,Q1 (Jan - Mar),anantapur district,1394849,73375049
Andhra Pradesh,2021,Q1 (Jan - Mar),kurnool district,1323411,65326230
Andhra Pradesh,2021,Q1 (Jan - Mar),guntur district,1843237,92731167
Andhra Pradesh,2021,Q1 (Jan - Mar),krishna district,1876458,92941553
Andhra Pradesh,2021,Q1 (Jan - Mar),spsr nellore district,1100541,60691988
Andhra Pradesh,2021,Q1 (Jan - Mar),vizianagaram district,681621,37752539
Andhra Pradesh,2021,Q1 (Jan - Mar),ysr district,1032689,53525815
Andhra Pradesh,2021,Q1 (Jan - Mar),west godavari district,1254117,57392671
Andhra Pradesh,2021,Q1 (Jan - Mar),chittoor district,1751420,99083825
Andhra Pradesh,2021,Q2 (Apr - Jun),east godavari district,2006272,84705076
Andhra Pradesh,2021,Q2 (Apr - Jun),srikakulam district,837958,43740255
Andhra Pradesh,2021,Q2 (Apr - Jun),visakhapatnam district,2526830,114313154
Andhra Pradesh,2021,Q2 (Apr - Jun),prakasam district,1151232,76850749
Andhra Pradesh,2021,Q2 (Apr - Jun),anantapur district,1492738,104568606
Andhra Pradesh,2021,Q2 (Apr - Jun),kurnool district,1415585,81894678
Andhra Pradesh,2021,Q2 (Apr - Jun),guntur district,1968681,88248064
Andhra Pradesh,2021,Q2 (Apr - Jun),krishna district,2002662,85771678
Andhra Pradesh,2021,Q2 (Apr - Jun),spsr nellore district,1176334,74049216
