State,Year,Quarter,Brands,Count,Percentage
Arunachal Pradesh,2019,Q4 (Oct - Dec),Oppo,19208,0.14852962782533385
Arunachal Pradesh,2019,Q4 (Oct - Dec),Realme,7743,0.0598742663604519
Arunachal Pradesh,2019,Q4 (Oct - Dec),Apple,2811,0.02173660890342636
Arunachal Pradesh,2019,Q4 (Oct - Dec),Gionee,1983,0.015333936483633749
Arunachal Pradesh,2019,Q4 (Oct - Dec),Motorola,1637,0.012658423612560992
Arunachal Pradesh,2019,Q4 (Oct - Dec),Huawei,1581,0.012225392627647482
Arunachal Pradesh,2019,Q4 (Oct - Dec),OnePlus,1535,0.011869688604325671
Arunachal Pradesh,2019,Q4 (Oct - Dec),Others,8580,0.06634653304567703
Arunachal Pradesh,2020,Q4 (Oct - Dec),Vivo,53198,0.23000363177282396
Arunachal Pradesh,2020,Q4 (Oct - Dec),Xiaomi,53097,0.2295669543261332
Arunachal Pradesh,2020,Q4 (Oct - Dec),Samsung,45317,0.195929820313716
Arunachal Pradesh,2020,Q4 (Oct - Dec),Oppo,36466,0.15766217595074625
Arunachal Pradesh,2020,Q4 (Oct - Dec),Realme,16419,0.07098818809124396
Arunachal Pradesh,2020,Q4 (Oct - Dec),Apple,4188,0.01810698165090016
Arunachal Pradesh,2020,Q4 (Oct - Dec),Gionee,2611,0.01128876052781765
Arunachal Pradesh,2020,Q4 (Oct - Dec),Huawei,2424,0.010480258720578317
Arunachal Pradesh,2020,Q4 (Oct - Dec),Motorola,2149,0.00929128547463812
Arunachal Pradesh,2020,Q4 (Oct - Dec),OnePlus,2141,0.00925669716202895
Arunachal Pradesh,2020,Q4 (Oct - Dec),Others,13282,0.05742524600937343
Arunachal Pradesh,2021,Q4 (Oct - Dec),Vivo,74157,0.23546090733590733
Arunachal Pradesh,2021,Q4 (Oct - Dec),Xiaomi,72002,0.22861842105263158
Arunachal Pradesh,2021,Q4 (Oct - Dec),Samsung,54367,0.17262433956512904
Arunachal Pradesh,2021,Q4 (Oct - Dec),Oppo,48973,0.1554974852672221
Arunachal Pradesh,2021,Q4 (Oct - Dec),Realme,31777,0.10089730237756553
Arunachal Pradesh,2021,Q4 (Oct - Dec),Apple,6342,0.02013691322901849
Arunachal Pradesh,2021,Q4 (Oct - Dec),OnePlus,3900,0.01238315383052225
Arunachal Pradesh,2021,Q4 (Oct - Dec),Gionee,2500,0.007937919122129648
Arunachal Pradesh,2021,Q4 (Oct - Dec),Huawei,2496,0.007925218451534242
Arunachal Pradesh,2021,Q4 (Oct - Dec),Motorola,2316,0.007353688274740906
Arunachal Pradesh,2021,Q4 (Oct - Dec),Others,16114,0.05116465149359886
Assam,2018,Q4 (Oct - Dec),Xiaomi,277115,0.2666564667188211
Assam,2018,Q4 (Oct - Dec),Vivo,169404,0.16301056271957554
Assam,2018,Q4 (Oct - Dec),Samsung,167786,0.16145362728428314
Assam,2018,Q4 (Oct - Dec),Oppo,122447,0.11782575602302109
Assam,2018,Q4 (Oct - Dec),Realme,70255,0.0676035222536881
Assam,2018,Q4 (Oct - Dec),Motorola,21507,0.020695309274928048
Assam,2018,Q4 (Oct - Dec),Lenovo,20275,0.019509805902690573
Assam,2018,Q4 (Oct - Dec),Gionee,20028,0.01927212787270465
Assam,2018,Q4 (Oct - Dec),Asus,19175,0.018451320748907114
Assam,2018,Q4 (Oct - Dec),Huawei,17882,0.017207119563596194
Assam,2018,Q4 (Oct - Dec),Others,133347,0.12831438163778447
Assam,2019,Q4 (Oct - Dec),Xiaomi,517791,0.2667348368551736
Assam,2019,Q4 (Oct - Dec),Vivo,355815,0.18329452612274755
Assam,2019,Q4 (Oct - Dec),Samsung,302655,0.15590968566159424
Assam,2019,Q4 (Oct - Dec),Oppo,254644,0.1311773008726471
Assam,2019,Q4 (Oct - Dec),Realme,140535,0.0723951947744202
Assam,2019,Q4 (Oct - Dec),Huawei,35293,0.0181808347327969
Assam,2019,Q4 (Oct - Dec),Gionee,33438,0.017225250100452293
Assam,2019,Q4 (Oct - Dec),Motorola,32828,0.01691101472270016
Assam,2019,Q4 (Oct - Dec),Asus,28977,0.014927210723153481
Assam,2019,Q4 (Oct - Dec),Lenovo,26680,0.013743934226929457
Assam,2019,Q4 (Oct - Dec),Others,212564,0.10950021120738504
Assam,2020,Q4 (Oct - Dec),Xiaomi,792324,0.25508209028982154
Assam,2020,Q4 (Oct - Dec),Vivo,627536,0.20202997083530658
Assam,2020,Q4 (Oct - Dec),Samsung,465965,0.15001353764608505
Assam,2020,Q4 (Oct - Dec),Oppo,431650,0.1389661101690741
Assam,2020,Q4 (Oct - Dec),Realme,271012,0.08725004853270267
Assam,2020,Q4 (Oct - Dec),Huawei,50719,0.016328558187571573
Assam,2020,Q4 (Oct - Dec),Motorola,42173,0.013577244907124666
Assam,2020,Q4 (Oct - Dec),Gionee,41431,0.01333836420807346
Assam,2020,Q4 (Oct - Dec),Asus,40998,0.013198963476686434
Assam,2020,Q4 (Oct - Dec),Lenovo,34802,0.011204213057115988
Assam,2020,Q4 (Oct - Dec),Others,307543,0.09901089869043798
Assam,2021,Q4 (Oct - Dec),Xiaomi,1040847,0.2472560873491035
Assam,2021,Q4 (Oct - Dec),Vivo,889004,0.21118536218839312
Assam,2021,Q4 (Oct - Dec),Oppo,590804,0.14034712635978175
Assam,2021,Q4 (Oct - Dec),Samsung,559238,0.13284853564158608
Assam,2021,Q4 (Oct - Dec),Realme,501363,0.11910016911381652
Assam,2021,Q4 (Oct - Dec),Huawei,54361,0.01291360609617419
Assam,2021,Q4 (Oct - Dec),Apple,53459,0.012699333498194956
Assam,2021,Q4 (Oct - Dec),Tecno,46362,0.011013421493917106
Assam,2021,Q4 (Oct - Dec),OnePlus,45171,0.010730496145587541
Assam,2021,Q4 (Oct - Dec),Motorola,43263,0.010277245461613729
Assam,2021,Q4 (Oct - Dec),Others,385719,0.0916286166518315
Bihar,2018,Q4 (Oct - Dec),Xiaomi,1399341,0.2929535565085682
Bihar,2018,Q4 (Oct - Dec),Samsung,1008369,0.21110314413926873
Bihar,2018,Q4 (Oct - Dec),Vivo,590399,0.12360067117957822
Bihar,2018,Q4 (Oct - Dec),Oppo,528034,0.11054449076918729
Bihar,2018,Q4 (Oct - Dec),Realme,346806,0.07260421235317947
Bihar,2018,Q4 (Oct - Dec),Motorola,111948,0.023436435253466593
Bihar,2018,Q4 (Oct - Dec),Lenovo,92104,0.019282072324519305
Bihar,2018,Q4 (Oct - Dec),Huawei,75369,0.015778581918556148
Bihar,2018,Q4 (Oct - Dec),Micromax,61472,0.012869229891566606
